iter	Logloss
0	0.6861254772
1	0.6796057589
2	0.6738620116
3	0.6685719217
4	0.6636401423
5	0.6591563548
6	0.6550221723
7	0.6512846463
8	0.6479343804
9	0.6447781245
10	0.6418014385
11	0.6389634198
12	0.6362662105
13	0.6336870101
14	0.6313953702
15	0.629364414
16	0.6272891699
17	0.62538555
18	0.6237856582
19	0.6219561739
20	0.6204769165
21	0.6190974968
22	0.6176984551
23	0.6163672616
24	0.6151359058
25	0.6139707401
26	0.6130212102
27	0.6118438153
28	0.6108331391
29	0.6098055353
30	0.6087914045
31	0.6078043577
32	0.6068224928
33	0.6058129221
34	0.6050064124
35	0.6041104978
36	0.6033505561
37	0.60254073
38	0.6018831134
39	0.601088073
40	0.6003960486
41	0.59972869
42	0.5989620463
43	0.5983436048
44	0.5977426435
45	0.5970826777
46	0.5965314626
47	0.5959036245
48	0.5953058415
49	0.5946870545
50	0.5941757054
51	0.5937181789
52	0.5931529381
53	0.5926276324
54	0.5920789737
55	0.5916045197
56	0.5911510005
57	0.590776937
58	0.5903111194
59	0.5899134265
60	0.5894269505
61	0.5888973611
62	0.588531105
63	0.5880467017
64	0.5876074154
65	0.587222159
66	0.5867687089
67	0.5864054238
68	0.5859991634
69	0.5856662787
70	0.5853310448
71	0.5848933477
72	0.5844756872
73	0.5840878053
74	0.5837755099
75	0.5833585404
76	0.5830786491
77	0.5827689101
78	0.5824343672
79	0.5821407957
80	0.58186885
81	0.5815508892
82	0.5812332046
83	0.5809144146
84	0.5806373561
85	0.5803693487
86	0.5800759154
87	0.5798258028
88	0.5795719246
89	0.5792904442
90	0.5789657814
91	0.5787092087
92	0.5784035116
93	0.5781097329
94	0.5778840096
95	0.5776312369
96	0.5774264486
97	0.5771882197
98	0.5769309906
99	0.5766835034
100	0.5764363963
101	0.576206493
102	0.5759949336
103	0.5758125656
104	0.5755240033
105	0.575289229
106	0.5750916608
107	0.5748626902
108	0.574646709
109	0.5743891344
110	0.5742160592
111	0.5739552718
112	0.5737393251
113	0.5735541589
114	0.5734015694
115	0.5731949501
116	0.5730308569
117	0.5728374686
118	0.5726278784
119	0.572403917
120	0.5721564989
121	0.5720087805
122	0.5717889992
123	0.5715259318
124	0.5714074392
125	0.5712267293
126	0.5710800818
127	0.5709053138
128	0.5707655755
129	0.5706006186
130	0.5704319653
131	0.570249079
132	0.5701080279
133	0.569944522
134	0.5697456755
135	0.5695948824
136	0.5694100616
137	0.5692434465
138	0.5690989754
139	0.5689307021
140	0.5688033657
141	0.5685996483
142	0.5684828484
143	0.5683273571
144	0.5681555947
145	0.5679533627
146	0.5677591108
147	0.5676228962
148	0.5674768014
149	0.5673541287
150	0.5672357052
151	0.567099456
152	0.5669367791
153	0.5668237448
154	0.5667046304
155	0.5665894542
156	0.5664353447
157	0.5662803025
158	0.566134035
159	0.5660315026
160	0.5658833005
161	0.5657207618
162	0.5656186785
163	0.5655003241
164	0.5653772714
165	0.5652090672
166	0.565093131
167	0.5649442035
168	0.564769401
169	0.56463443
170	0.5644700603
171	0.5643134636
172	0.5641965946
173	0.5640501889
174	0.5638598407
175	0.5637260443
176	0.5636167064
177	0.5634646697
178	0.5633856631
179	0.5632661341
180	0.5631470542
181	0.5630129123
182	0.5628956979
183	0.5627729216
184	0.5626083793
185	0.5625116852
186	0.5623781996
187	0.5622820928
188	0.5621655002
189	0.5620813118
190	0.5619688993
191	0.5618627741
192	0.5617582035
193	0.5616377073
194	0.5615757664
195	0.5614459773
196	0.561336743
197	0.5612190104
198	0.561139382
199	0.5609824052
200	0.5609161115
201	0.5608235629
202	0.5606979884
203	0.5606105181
204	0.5605471263
205	0.5604328828
206	0.5602818825
207	0.5601859484
208	0.5600489392
209	0.5599279247
210	0.5598163759
211	0.5597142926
212	0.5596045056
213	0.5594736801
214	0.5594014099
215	0.5592726572
216	0.5591682939
217	0.5590396793
218	0.5588906136
219	0.5587745046
220	0.5586596739
221	0.5585106773
222	0.5584004411
223	0.5582867159
224	0.558149223
225	0.5579954245
226	0.557898834
227	0.557781585
228	0.5576199446
229	0.5575077739
230	0.5573812321
231	0.5572824307
232	0.5571954094
233	0.5571169901
234	0.5570163578
235	0.5569191455
236	0.5568250078
237	0.5566943896
238	0.5565822534
239	0.5564935394
240	0.5564077964
241	0.5562680926
242	0.5561786531
243	0.556095121
244	0.5560144217
245	0.5559164494
246	0.555822208
247	0.5557133538
248	0.5556262289
249	0.5555396913
250	0.5554467281
251	0.5553659943
252	0.5552328196
253	0.5551083851
254	0.5550133492
255	0.5548927839
256	0.5547543928
257	0.5546555914
258	0.5545503645
259	0.5544664178
260	0.5543915567
261	0.5542892317
262	0.5541552625
263	0.5540536628
264	0.553932752
265	0.5538412398
266	0.5537355983
267	0.5536408733
268	0.5535169225
269	0.5533685822
270	0.5532646334
271	0.5531401298
272	0.5530347301
273	0.5529581763
274	0.5527999213
275	0.5526681631
276	0.5525900202
277	0.5525060044
278	0.5523791517
279	0.5522946178
280	0.5521905308
281	0.5520461288
282	0.5519179633
283	0.5518130818
284	0.5517308279
285	0.5516284337
286	0.5515031701
287	0.5514103797
288	0.5512806252
289	0.5511756055
290	0.551096288
291	0.5510374562
292	0.5509349584
293	0.550845588
294	0.5507562522
295	0.5506367923
296	0.5505440019
297	0.5504506933
298	0.5503595957
299	0.5502615197
300	0.5501806131
301	0.5500385947
302	0.5499552699
303	0.5498588176
304	0.5497566998
305	0.5496422491
306	0.5495454859
307	0.549447099
308	0.5493396611
309	0.5492338469
310	0.5491127979
311	0.5489977254
312	0.5489005822
313	0.548826032
314	0.5487501346
315	0.5486828045
316	0.5485675247
317	0.5484630232
318	0.5484071279
319	0.548312092
320	0.5482470419
321	0.54817301
322	0.5480916888
323	0.5480145823
324	0.5479107717
325	0.5477961828
326	0.5477062942
327	0.5476191694
328	0.5475315263
329	0.5474406014
330	0.5473473618
331	0.5472510823
332	0.5471675502
333	0.5470570723
334	0.546950878
335	0.5468597804
336	0.546767439
337	0.5466907816
338	0.5465844837
339	0.5465098645
340	0.5464078503
341	0.5463342329
342	0.546248248
343	0.5461571849
344	0.5460574853
345	0.5459920553
346	0.5459232052
347	0.5458379112
348	0.5457462263
349	0.5456487031
350	0.5455743948
351	0.5455169103
352	0.545456904
353	0.5453585171
354	0.5452721868
355	0.5451888275
356	0.5450996298
357	0.5450159941
358	0.5449407876
359	0.5448543881
360	0.5447672287
361	0.5446948204
362	0.5446102174
363	0.544531349
364	0.5444716536
365	0.5443675667
366	0.5442682816
367	0.5442034043
368	0.5440951719
369	0.543995265
370	0.5439152566
371	0.5437813565
372	0.5437081882
373	0.5436459709
374	0.5435718353
375	0.5434991161
376	0.5434023184
377	0.5432752584
378	0.5431764224
379	0.5430632154
380	0.5429652776
381	0.5428603961
382	0.5427614565
383	0.5426959574
384	0.5426108707
385	0.5425416752
386	0.5424124043
387	0.5422919425
388	0.5421913102
389	0.5420496718
390	0.5419713562
391	0.5419007097
392	0.5418193194
393	0.5417365474
394	0.5416464861
395	0.5415573921
396	0.5414872638
397	0.541402419
398	0.5413370235
399	0.5412339729
400	0.5411475044
401	0.5410787234
402	0.5410159535
403	0.5409400215
404	0.5408661968
405	0.5408347945
406	0.5407557879
407	0.5406794068
408	0.5406179151
409	0.5405491341
410	0.5404599364
411	0.54039233
412	0.5402977432
413	0.5402239876
414	0.5401187952
415	0.5400345722
416	0.5399720786
417	0.5399122796
418	0.5398316493
419	0.5397693284
420	0.5396730143
421	0.5396019533
422	0.539538976
423	0.539458864
424	0.5394096015
425	0.5393190911
426	0.53924119
427	0.5391096045
428	0.5390316343
429	0.5389437839
430	0.5388764884
431	0.5388012819
432	0.5386919785
433	0.5386184302
434	0.5385412891
435	0.5384725772
436	0.5384113963
437	0.5383105222
438	0.5381974878
439	0.5380781316
440	0.5380174689
441	0.5379302059
442	0.5378485047
443	0.5377589271
444	0.5376746695
445	0.5376160105
446	0.5375439822
447	0.5374782412
448	0.5373976455
449	0.5373200899
450	0.5372398397
451	0.537161524
452	0.5370934685
453	0.5370466933
454	0.536966443
455	0.5369049512
456	0.5368332684
457	0.5367620692
458	0.536677328
459	0.5365987014
460	0.536517553
461	0.536410046
462	0.5363281376
463	0.5362611184
464	0.5361834937
465	0.5361151618
466	0.5360265169
467	0.5359539704
468	0.5358861567
469	0.5357927099
470	0.5357313909
471	0.5356629208
472	0.5356086837
473	0.535520557
474	0.5354606889
475	0.5353811986
476	0.5353097576
477	0.5352436367
478	0.5351721957
479	0.5350977837
480	0.5350136988
481	0.5349376632
482	0.5348811461
483	0.5347948848
484	0.53470852
485	0.5346256442
486	0.5345482268
487	0.5344963388
488	0.5343960173
489	0.5343139362
490	0.5342385569
491	0.5341881198
492	0.5341185097
493	0.5340370158
494	0.5339856806
495	0.5339236706
496	0.5338276674
497	0.5337449644
498	0.5336596705
499	0.5335744111
